timing,slices,y_fit
0.0,1.1407233989126297,1.1335408807939367
1.0,1.0484816974462121,1.0403713533782155
2.0,0.9559771407556015,0.9556349378954894
3.0,0.8806469299469917,0.8785683227904997
4.0,0.8078565150708426,0.8084772866060463
5.0,0.7332704917800774,0.7447304443875633
6.0,0.6813890151919936,0.6867535601233021
7.0,0.6320029563816362,0.6340243739861899
8.0,0.5765200218516894,0.5860678977807906
9.0,0.5298854086348309,0.5424521362164307
10.0,0.5018281737304052,0.5027841954634171
11.0,0.46653388590015116,0.46670674393794837
12.0,0.42724215043964014,0.433894793434224
13.0,0.3995126311394029,0.40405277160796454
14.0,0.37857296951344516,0.3769118594400683
15.0,0.3525195789804633,0.3522275696960917
16.0,0.3324401708155002,0.32977754456814784
17.0,0.3095820074233558,0.30935955266022613
18.0,0.30071320388500583,0.2907896672736372
19.0,0.28290049531567957,0.2739006095824518
20.0,0.2607523823992768,0.25854024177414053
21.0,0.2450356882150722,0.24457019658152185
22.0,0.23782594492292644,0.23186463086074466
23.0,0.22718542889943277,0.22030909198745008
24.0,0.21496436782657175,0.20979948685952854
25.0,0.2066417569618693,0.2002411442191786
26.0,0.19807677309823554,0.19154796184759687
27.0,0.18580450646222035,0.18364163095017122
28.0,0.18417616955390886,0.17645093074538382
29.0,0.16953479219594778,0.16991108690303142
30.0,0.16755484375397592,0.16396318805253007
31.0,0.16349253574372338,0.15855365510517003
32.0,0.15549422677899885,0.15363375860993836
33.0,0.15123051022033868,0.1491591797952173
34.0,0.14544428158388656,0.14508961134219084
35.0,0.13650379025712026,0.14138839429369843
36.0,0.1395829514548076,0.13802218782778605
37.0,0.13867149243065852,0.13496066892125075
38.0,0.1269215225388184,0.13217625919772755
39.0,0.1336704157625742,0.12964387649974693
40.0,0.12986413556809395,0.12734070894690663
41.0,0.12783298156296746,0.1252460094448581
42.0,0.12050717232767166,0.12334090879402991
43.0,0.12048669010240971,0.12160824571455883
44.0,0.12038086527189065,0.12003241225628086
45.0,0.11799809973310378,0.11859921320122489
46.0,0.10838169497269896,0.11729573819209674
47.0,0.11046405454097964,0.11611024543487797
48.0,0.10916684694106703,0.1150320559279244
49.0,0.11681354437213096,0.1140514572647727
50.0,0.10863430908426076,0.1131596161441038
51.0,0.1048792344529349,0.11234849879874709
52.0,0.10830317977586211,0.11161079862694397
53.0,0.09931489659015189,0.11093987037396842
54.0,0.11134820393144651,0.11032967027120777
55.0,0.10646319320651249,0.10977470159347241
56.0,0.11011244300731927,0.10926996514411112
57.0,0.10427500880771251,0.10881091422189793
58.0,0.10222678628153453,0.10839341366402966
59.0,0.1114301328324936,0.1080137025962903
60.0,0.09911348804174426,0.10766836055483306
61.0,0.10910881396949212,0.1073542766744029
62.0,0.10432280066665667,0.10706862166544483
63.0,0.10359909537407376,0.10680882232766577
64.0,0.10079303051321016,0.10657253837046637
65.0,0.10111733241318832,0.10635764133143973
66.0,0.10512843486028645,0.10616219540303312
67.0,0.10697866254226705,0.10598443999465833
68.0,0.10549711491499852,0.10582277387316841
69.0,0.10081351273847189,0.10567574073883763
70.0,0.09589095126722467,0.1055420161069117
71.0,0.09755001151342862,0.10542039537655648
72.0,0.1000727389248375,0.10530978297972948
73.0,0.09594215683037909,0.10520918251222629
74.0,0.10692745697911264,0.10511768775800187
75.0,0.09977574665854179,0.10503447452591304
76.0,0.09709598885345921,0.10495879322534707
77.0,0.09776507487867724,0.10488996211385697
78.0,0.08320562642176327,0.1048273611559779
79.0,0.08873924094665359,0.1047704264379044
