timing,slices,y_fit
0.0,1.0595015000263028,1.0417456836654835
1.0,0.9351853863416856,0.927566699237651
2.0,0.8266982343587407,0.8265586253335916
3.0,0.7330216233062979,0.7372021553585363
4.0,0.6462796854433288,0.658153239585853
5.0,0.5759060861596542,0.5882228687175636
6.0,0.5137667325424085,0.5263591894757238
7.0,0.4621048049394656,0.47163168321745674
8.0,0.4155844542393145,0.4232171695972741
9.0,0.3730400471896447,0.38038742475165055
10.0,0.33772353163204816,0.3424982277655526
11.0,0.30562035080623656,0.3089796706640381
12.0,0.2769296035596541,0.27932758617727216
13.0,0.25457743961989343,0.253095964340228
14.0,0.23258124028616964,0.2298902438618312
15.0,0.2146514840790381,0.20936137735610078
16.0,0.1979742406212842,0.1912005811678319
17.0,0.18130906376034514,0.17513469082265504
18.0,0.1686934367904574,0.160922052240764
19.0,0.15601023687840687,0.14834888691226428
20.0,0.14923122278784456,0.1372260763611531
21.0,0.1391483744893863,0.12738631753164975
22.0,0.12623228925880978,0.11868160630979793
23.0,0.12211275310623246,0.11098101132888852
24.0,0.11451924373067023,0.10416870457353675
25.0,0.10704036702484873,0.09814221915986931
26.0,0.10121823406170115,0.09281090808633105
27.0,0.09791560651348667,0.08809458077250869
28.0,0.09346544560818336,0.08392229687755598
29.0,0.08794497756540615,0.08023129925551573
30.0,0.08194667228876233,0.07696606999765354
31.0,0.08400161372632504,0.07407749536332316
32.0,0.07759183749829608,0.07152212703872356
33.0,0.07517851813533336,0.06926152861181786
34.0,0.0715319925778967,0.06726169743345758
35.0,0.0689328476239858,0.06549255316867275
36.0,0.06544198116546023,0.0639274853452041
37.0,0.06721697755691934,0.0625429530937572
38.0,0.06431858100200108,0.06131813105949664
39.0,0.06059724254431258,0.06023459615878024
40.0,0.057619206450416544,0.059276050469504425
41.0,0.05735374132049067,0.0584280760869333
42.0,0.058054810595431314,0.05767791825769082
43.0,0.01318396367986543,0.05701429352993959
44.0,0.006696961232221609,0.056427220034049236
45.0,0.02313045943431627,0.05590786734093181
46.0,0.032807870079796755,0.05544842363969768
47.0,0.04604613344532881,0.055041978236793056
48.0,0.043383035528299495,0.054682417609237255
49.0,0.026145901978338184,0.05436433344845107
50.0,0.022651415540768133,0.0540829413115232
51.0,0.025999896156878977,0.05383400865631293
52.0,0.02249213646281266,0.053613791177933585
53.0,0.020438401684931322,0.05341897648902587
54.0,0.018845610905375915,0.05324663429669166
55.0,0.01967941274527958,0.05309417232667751
56.0,0.023084606366419975,0.05295929733184446
57.0,0.022669515435990422,0.052839980598435275
58.0,0.02030687577964985,0.05273442743130404
59.0,0.02326077867991628,0.05264105015912189
60.0,0.021167224132546136,0.05255844425351852
61.0,0.02283724113171631,0.05248536720295699
62.0,0.01988816487017582,0.05242071982357453
63.0,0.021654714643864603,0.05236352972587758
64.0,0.020180176513094315,0.052312936688606294
65.0,0.019016956580146276,0.052268179719770595
66.0,0.01791165631190942,0.05222858561023693
67.0,0.02060854070002022,0.05219355880769544
68.0,0.018377426948961204,0.0521625724586973
